nbin_dir	run_name	data_path	N_steps	f_FNA	f_SNA	f_VSNA	f_LLP	T_FNA	T_SNA	T_VSNA	logL	nll	BIC	success	opt_time_sec
run_High_Unwinding_noise_0.1	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_noise_0.1\duration_10000_ntraj_200\dwell_times_all.txt	20	0.827205	0.172794	6.21218e-07	6.21218e-07	3.29346	3.92064	9.9925	-724796.620720	724796.620720	1449685.143365	True	14.0555
run_High_Unwinding_noise_0.2	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_noise_0.2\duration_10000_ntraj_200\dwell_times_all.txt	20	0.807485	0.192513	5.93909e-07	5.93909e-07	3.25224	3.65236	9.99142	-736686.267264	736686.267264	1473464.441764	True	15.3580
run_High_Unwinding_noise_0.3	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_noise_0.3\duration_10000_ntraj_200\dwell_times_all.txt	20	0.786287	0.213711	5.57314e-07	5.57314e-07	3.22144	3.42166	9.99048	-758281.237410	758281.237410	1516654.386058	True	16.0776
run_High_Unwinding_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.728102	0.271897	4.98736e-07	4.98736e-07	3.13384	2.99058	9.98265	-831287.570987	831287.570987	1662667.075735	True	18.7052
run_High_Unwinding_noise_0.7	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_noise_0.7\duration_10000_ntraj_200\dwell_times_all.txt	20	0.55225	0.447749	3.41758e-07	3.41758e-07	2.85908	2.39924	9.93548	-940651.333188	940651.333188	1881394.643768	True	18.7321
run_High_Unwinding_noise_0.8	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_noise_0.8\duration_10000_ntraj_200\dwell_times_all.txt	20	0.267115	0.732745	0.000139786	3.0662e-07	2.36029	2.1406	9.97171	-998736.175880	998736.175880	1997564.361840	True	22.4708
run_High_Unwinding_noise_0	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_noise_0\duration_10000_ntraj_200\dwell_times_all.txt	20	0.835464	0.164534	6.40729e-07	6.40729e-07	3.32122	4.0393	9.99304	-720699.020028	720699.020028	1441489.938836	True	13.8071
run_High_Unwinding_noise_10	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_noise_10\duration_10000_ntraj_200\dwell_times_all.txt	20	2.03649e-08	2.03649e-08	2.03649e-08	1	0.001	5.00327	10.0001	-7368857.132110	7368857.132110	14737823.545410	True	495.6235
run_High_Unwinding_noise_1	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_noise_1\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0934993	0.9065	3.11683e-07	3.11683e-07	1.58209	2.52789	9.92084	-1092353.323507	1092353.323507	2184798.765814	True	15.6688
run_High_Unwinding_noise_2	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_noise_2\duration_10000_ntraj_200\dwell_times_all.txt	20	0.00163237	0.998367	2.39261e-07	2.39261e-07	0.309334	2.45015	3.34644	-1388784.566652	1388784.566652	2777663.593996	True	42.1465
run_High_Unwinding_noise_3	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_noise_3\duration_10000_ntraj_200\dwell_times_all.txt	20	0.000182552	0.999812	5.555e-06	1.65433e-07	0.200207	1.44127	9.93528	-1697063.502351	1697063.502351	3394225.093701	True	86.9323
run_High_Unwinding_noise_5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_High_Unwinding_noise_5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.475035	1.43605e-06	1.43605e-06	0.524962	0.276006	4.95039	9.99919	-2472505.460996	2472505.460996	4945114.050654	True	80.8064
run_Low_Unwinding	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Low_Unwinding\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0759783	0.924022	1.07676e-07	1.07676e-07	0.970624	2.61685	8.83256	-1189965.783586	1189965.783586	2380024.585116	True	17.9931
run_Low_Unwinding_2	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Low_Unwinding_2\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0757216	0.924278	3.08092e-07	3.08092e-07	1.11765	2.72536	9.94285	-1137573.203050	1137573.203050	2275238.930998	True	18.5620
run_Low_Unwinding_2_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Low_Unwinding_2_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0741526	0.925847	3.08942e-07	3.08942e-07	1.11268	2.72724	9.94317	-1137475.101529	1137475.101529	2275042.725742	True	18.8306
run_Low_Unwinding_3	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Low_Unwinding_3\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0779686	0.922031	2.57761e-07	2.57761e-07	0.958852	2.62379	9.59103	-1194183.133918	1194183.133918	2388459.307402	True	22.0374
run_Low_Unwinding_3_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Low_Unwinding_3_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0779878	0.922012	2.62014e-07	2.62014e-07	0.957446	2.61783	9.60308	-1195222.554693	1195222.554693	2390538.163574	True	22.7780
run_Low_Unwinding_4	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Low_Unwinding_4\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0724411	0.927558	2.75667e-07	2.75667e-07	0.91941	2.61509	9.6312	-1203116.305539	1203116.305539	2406325.718919	True	22.0222
run_Low_Unwinding_4_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Low_Unwinding_4_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0736415	0.926358	2.55714e-07	2.55714e-07	0.920307	2.61355	9.61729	-1203960.297281	1203960.297281	2408013.710408	True	22.7202
run_Low_Unwinding_5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Low_Unwinding_5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0739417	0.926058	2.97712e-07	2.97712e-07	1.01044	2.66097	9.77644	-1172556.403167	1172556.403167	2345205.649594	True	22.0717
run_Low_Unwinding_5_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Low_Unwinding_5_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.075629	0.92437	3.06538e-07	3.06538e-07	1.01768	2.66159	9.77633	-1171912.587617	1171912.587617	2343918.011962	True	22.2267
run_Low_Unwinding_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Low_Unwinding_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0763009	0.923699	2.05521e-07	2.05521e-07	0.973444	2.62084	9.50364	-1189201.469468	1189201.469468	2378495.945449	True	20.3472
run_Low_Unwinding_noise_0.5	duration_10000_ntraj_200	d:\Vivian\DTMC_simulations\simulated_data\sim_traces_nbin_2500\run_Low_Unwinding_noise_0.5\duration_10000_ntraj_200\dwell_times_all.txt	20	0.0763009	0.923699	2.05521e-07	2.05521e-07	0.973444	2.62084	9.50364	-1189201.469468	1189201.469468	2378495.945449	True	20.3472
