nbin_dir	run_name	data_path	N_steps	f_FNA	f_SNA	f_VSNA	f_LLP	T_FNA	T_SNA	T_VSNA	logL	nll	BIC	success	opt_time_sec
dwell_time_all_fixed_window	run_Family_C_3_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_C_3_noise_0.5\dwell_times_all.txt	20	0.244234	0.755766	3.30387e-07	3.30387e-07	2.15682	2.55091	9.94912	-981267.990068	981267.990068	1962627.688071	True	81.1420
dwell_time_all_fixed_window	run_Family_B_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_B_noise_0.5\dwell_times_all.txt	20	0.456929	0.241673	0.301397	2.27893e-07	2.44451	7.42631	17.2758	-607956.680393	607956.680393	1215999.184812	True	84.2891
dwell_time_all_fixed_window	run_Family_B_2_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_B_2_noise_0.5\dwell_times_all.txt	20	0.481511	0.245035	0.273454	1.94696e-07	2.45062	7.73841	16.9446	-622841.430012	622841.430012	1245769.039420	True	94.3067
dwell_time_all_fixed_window	run_Family_F_4_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_F_4_noise_0.5\dwell_times_all.txt	20	0.306215	0.370836	0.196955	0.125994	2.36081	9.86903	83.3826	-229365.255634	229365.255634	458807.572826	True	36.7146
dwell_time_all_fixed_window	run_Balanced_3_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Balanced_3_noise_0.5\dwell_times_all.txt	20	0.546666	0.446283	0.00705055	3.22196e-07	2.39603	3.22638	9.96672	-975109.119392	975109.119392	1950310.261371	True	96.8467
dwell_time_all_fixed_window	run_Family_F_2_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_F_2_noise_0.5\dwell_times_all.txt	20	0.303096	0.444009	0.223098	0.0297968	2.34945	8.29367	61.3469	-326554.260877	326554.260877	653188.445054	True	42.9663
dwell_time_all_fixed_window	run_Family_C_2_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_C_2_noise_0.5\dwell_times_all.txt	20	0.405432	0.594568	3.13472e-07	3.13472e-07	2.327	2.45079	9.93339	-993333.891575	993333.891575	1986760.026862	True	97.5054
dwell_time_all_fixed_window	run_Family_F_3_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_F_3_noise_0.5\dwell_times_all.txt	20	0.298342	0.454243	0.230969	0.0164458	2.3517	7.82579	51.4457	-370918.719120	370918.719120	741918.404233	True	45.8733
dwell_time_all_fixed_window	run_Balanced_3	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Balanced_3\dwell_times_all.txt	20	0.547323	0.445309	0.00736825	3.29584e-07	2.39488	3.21941	9.96684	-975685.128951	975685.128951	1951462.288729	True	102.9131
dwell_time_all_fixed_window	run_Balanced	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Balanced\dwell_times_all.txt	20	0.553951	0.439992	0.00605605	3.60672e-07	2.40242	3.02465	9.98266	-980793.999513	980793.999513	1961680.228072	True	103.4283
dwell_time_all_fixed_window	run_Family_E_2_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_E_2_noise_0.5\dwell_times_all.txt	20	0.503596	0.496404	3.29917e-07	3.29917e-07	2.38943	2.36004	9.99578	-994611.407618	994611.407618	1989315.485987	True	106.2831
dwell_time_all_fixed_window	run_Balanced_4_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Balanced_4_noise_0.5\dwell_times_all.txt	20	0.556243	0.439926	0.00383046	3.64113e-07	2.40435	3.29947	9.97601	-975389.462614	975389.462614	1950870.967039	True	108.6838
dwell_time_all_fixed_window	run_Family_C_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_C_noise_0.5\dwell_times_all.txt	20	0.366928	0.633071	5.2192e-07	5.2192e-07	2.29262	2.47048	9.96809	-991998.759059	991998.759059	1984089.629323	True	110.5919
dwell_time_all_fixed_window	run_Balanced_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Balanced_noise_0.5\dwell_times_all.txt	20	0.553434	0.441759	0.00480635	3.57742e-07	2.4027	3.04742	9.98127	-981395.900328	981395.900328	1962884.022304	True	112.1140
dwell_time_all_fixed_window	run_Family_F_5_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_F_5_noise_0.5\dwell_times_all.txt	20	0.287932	0.330397	0.172603	0.209068	2.33884	10.5546	101.583	-182791.066126	182791.066126	365657.376691	True	53.0164
dwell_time_all_fixed_window	run_Balanced_5_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Balanced_5_noise_0.5\dwell_times_all.txt	20	0.158283	0.76524	0.076477	2.48322e-07	2.05681	2.79964	6.39217	-941987.367842	941987.367842	1884065.481391	True	121.6717
dwell_time_all_fixed_window	run_Family_E_3_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_E_3_noise_0.5\dwell_times_all.txt	20	0.450325	0.549668	6.82026e-06	2.89863e-07	2.35943	2.39527	9.98391	-994957.713236	994957.713236	1990007.874008	True	109.9220
dwell_time_all_fixed_window	run_Family_C_5_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_C_5_noise_0.5\dwell_times_all.txt	20	0.395862	0.467351	0.136787	3.20776e-07	2.37744	3.74292	7.56715	-898170.999944	898170.999944	1796432.065517	True	133.2590
dwell_time_all_fixed_window	run_High_Pause_3	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Pause_3\dwell_times_all.txt	20	0.0262955	3.53196e-07	0.968915	0.00478942	2.1401	5.3339	11.9667	-506122.650658	506122.650658	1012328.422582	True	31.0854
dwell_time_all_fixed_window	run_Family_H_2_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_H_2_noise_0.5\dwell_times_all.txt	20	0.355535	0.420561	0.215476	0.00842789	2.37112	7.41573	45.6605	-415224.274092	415224.274092	830530.717838	True	42.0085
dwell_time_all_fixed_window	run_Family_H_4_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_H_4_noise_0.5\dwell_times_all.txt	20	0.354554	0.417847	0.218161	0.00943747	2.37563	7.47854	45.014	-415461.799021	415461.799021	831005.758864	True	39.1795
